date,Country/Region,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,share_of_last_week,percentage,population
2022-01-02,Slovakia,48.669,19.699,1374850,16701,0,1358149,1.8215805360584791,1.8,54.59643
2022-01-02,Slovenia,46.1512,14.9955,466554,5603,0,460951,2.249900333080415,2.2,20.78931
2022-01-02,Spain,40.463667,-3.74922,6294745,89405,0,6205340,9.162213878401746,9.2,467.54783
2022-01-02,Sweden,60.128161,18.643501,1314784,15310,0,1299474,3.1542063183001923,3.2,100.9927
2022-01-02,Switzerland,46.8182,8.2275,1332615,12227,0,1320388,7.895753837379888,7.9,86.54618
2022-01-02,Turkey,38.9637,35.2433,9552801,82635,0,9470166,2.5717797324575273,2.6,843.39067
2022-01-02,Ukraine,48.3794,31.1656,3854405,102421,0,3751984,0.7919769718023923,0.8,437.33759
2022-01-02,United Kingdom,55.3781,-3.436,13310224,178194,0,13132030,8.339897209844102,8.3,678.86004
2022-01-03,Albania,41.1533,20.1683,210885,3220,0,207665,1.5060340944116462,1.5,28.778
2022-01-03,Andorra,42.5063,1.5218,24502,140,0,24362,8.856419884091094,8.9,0.77265
2022-01-03,Austria,47.5162,14.5501,1281328,16867,0,1264461,1.6683472147646816,1.7,90.064
2022-01-03,Belarus,53.7098,27.9534,701699,5624,0,696075,1.0649865540637795,1.1,94.49321
2022-01-03,Belgium,50.8333,4.469936,2133284,28385,0,2104899,3.769446543451317,3.8,115.89616
2022-01-03,Bosnia and Herzegovina,43.9159,17.6791,291313,13442,0,277871,1.0933257355490487,1.1,32.80815
2022-01-03,Bulgaria,42.7339,25.4858,751458,31080,0,720378,2.0573338762778492,2.1,69.48445
2022-01-03,Croatia,45.1,15.2,722054,12653,0,709401,3.9112033172034226,3.9,41.05268
2022-01-03,Cyprus,35.1264,33.4299,177721,641,0,177080,14.087249115186163,14.1,12.07361
2022-01-03,Denmark,56.2639,9.5018,849334,3308,0,846026,13.621967329695973,13.6,57.92203
